Evénement;Date/Heure de l'événement;Pari;Paris/Pronostics;Cotes Première;Cotes Dernière;Chiffre d'affaires;Stakes (FreeBet) Toutes Formules;Stakes (FreeBet) Simple uniquement;Mises en pourcentage Toutes Formules;Mises en pourcentage Simple uniquement;Prise de jeu;Liability Montant;Liability RU Montant;Exposure Montant;Exposure RU Montant;Payout;Alerte;Enjeux à Cotes Fixes Simples;Enjeux à Cotes Fixes R / O Last Leg;Mise en cours Cote;CA en %;CA Simple %;Liability Simple;Stakes Multiples;Expected Stake Distribution %;Stake Deviation %;Prises de jeu annulées;Mises annulées (Paris gratuits)
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 171 et 180;5,25;6,75;;;;;;;3;3;;;;;;;;;;3;;10 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 121 et 130;20;13,8;;;;;;;3;3;;;;;;;;;;3;;5 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;181,5 et Plus;10;15;;;;;;;3;3;;;;;;;;;;3;;4 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 111 et 120;100;68;;;;;;;3;3;;;;;;;;;;3;;1 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 90 Mins;CAY Berrechid;2,1;2,3;812;1492 (0);352 (0);70,06 %;53,66 %;163;170;-496;1 117;1 196;802;;352 [36];;531 [195];67 %;43 %;-146;1140;37 %;45 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 90 Mins;N;2,7;2,6;272;385 (0);228 (0);18,08 %;34,78 %;70;763;527;602;381;594;;228 [11];;145 [95];22 %;84 %;62;157;33 %;6 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 90 Mins;US Rabat;3,05;2,8;134;252 (0);76 (0);11,86 %;11,55 %;59;"1 118""""";803;451;487;212;;76 [13];;172 [64];11 %;56 %;443;177;30 %;-62 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - Mi-temps;CAY Berrechid;2,7;3,05;;;;;;;31;31;;;;;;;;;;15;;27 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - Mi-temps;N;1,8;1,72;7;21 (0);5 (0);64,01 %;33,33 %;9;8;-3;15;25;9;;5 [1];;14 [7];39 %;72 %;6;16;48 %;-31 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - Mi-temps;US Rabat;3,5;3,35;11;12 (0);10 (0);35,99 %;66,67 %;2;-4;-8;27;6;33;;10 [1];;2 [1];61 %;92 %;-18;2;25 %;170 %;;
